Index,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,day_of_week
0,2023/24,Burnley,Man City,0,3,A,Friday
1,2023/24,Arsenal,Nott'm Forest,2,1,H,Saturday
2,2023/24,Bournemouth,West Ham,1,1,D,Saturday
3,2023/24,Brighton,Luton,4,1,H,Saturday
4,2023/24,Everton,Fulham,0,1,A,Saturday
5,2023/24,Sheffield United,Crystal Palace,0,1,A,Saturday
6,2023/24,Newcastle,Aston Villa,5,1,H,Saturday
7,2023/24,Brentford,Tottenham,2,2,D,Sunday
8,2023/24,Chelsea,Liverpool,1,1,D,Sunday
9,2023/24,Man United,Wolves,1,0,H,Monday
10,2023/24,Nott'm Forest,Sheffield United,2,1,H,Friday
11,2023/24,Fulham,Brentford,0,3,A,Saturday
12,2023/24,Liverpool,Bournemouth,3,1,H,Saturday
13,2023/24,Wolves,Brighton,1,4,A,Saturday
14,2023/24,Tottenham,Man United,2,0,H,Saturday
15,2023/24,Man City,Newcastle,1,0,H,Saturday
16,2023/24,Aston Villa,Everton,4,0,H,Sunday
17,2023/24,West Ham,Chelsea,3,1,H,Sunday
18,2023/24,Crystal Palace,Arsenal,0,1,A,Monday
19,2023/24,Chelsea,Luton,3,0,H,Friday
20,2023/24,Bournemouth,Tottenham,0,2,A,Saturday
21,2023/24,Arsenal,Fulham,2,2,D,Saturday
22,2023/24,Brentford,Crystal Palace,1,1,D,Saturday
23,2023/24,Everton,Wolves,0,1,A,Saturday
24,2023/24,Man United,Nott'm Forest,3,2,H,Saturday
25,2023/24,Brighton,West Ham,1,3,A,Saturday
26,2023/24,Burnley,Aston Villa,1,3,A,Sunday
27,2023/24,Sheffield United,Man City,1,2,A,Sunday
28,2023/24,Newcastle,Liverpool,1,2,A,Sunday
29,2023/24,Luton,West Ham,1,2,A,Friday
30,2023/24,Sheffield United,Everton,2,2,D,Saturday
31,2023/24,Brentford,Bournemouth,2,2,D,Saturday
32,2023/24,Burnley,Tottenham,2,5,A,Saturday
33,2023/24,Chelsea,Nott'm Forest,0,1,A,Saturday
34,2023/24,Man City,Fulham,5,1,H,Saturday
35,2023/24,Brighton,Newcastle,3,1,H,Saturday
36,2023/24,Crystal Palace,Wolves,3,2,H,Sunday
37,2023/24,Liverpool,Aston Villa,3,0,H,Sunday
38,2023/24,Arsenal,Man United,3,1,H,Sunday
39,2023/24,Wolves,Liverpool,1,3,A,Saturday
40,2023/24,Aston Villa,Crystal Palace,3,1,H,Saturday
41,2023/24,Fulham,Luton,1,0,H,Saturday
42,2023/24,Man United,Brighton,1,3,A,Saturday
43,2023/24,Tottenham,Sheffield United,2,1,H,Saturday
44,2023/24,West Ham,Man City,1,3,A,Saturday
45,2023/24,Newcastle,Brentford,1,0,H,Saturday
46,2023/24,Bournemouth,Chelsea,0,0,D,Sunday
47,2023/24,Everton,Arsenal,0,1,A,Sunday
48,2023/24,Nott'm Forest,Burnley,1,1,D,Monday
49,2023/24,Crystal Palace,Fulham,0,0,D,Saturday
50,2023/24,Luton,Wolves,1,1,D,Saturday
51,2023/24,Man City,Nott'm Forest,2,0,H,Saturday
52,2023/24,Brentford,Everton,1,3,A,Saturday
53,2023/24,Burnley,Man United,0,1,A,Saturday
54,2023/24,Arsenal,Tottenham,2,2,D,Sunday
55,2023/24,Brighton,Bournemouth,3,1,H,Sunday
56,2023/24,Chelsea,Aston Villa,0,1,A,Sunday
57,2023/24,Liverpool,West Ham,3,1,H,Sunday
58,2023/24,Sheffield United,Newcastle,0,8,A,Sunday
59,2023/24,Aston Villa,Brighton,6,1,H,Saturday
60,2023/24,Bournemouth,Arsenal,0,4,A,Saturday
61,2023/24,Everton,Luton,1,2,A,Saturday
62,2023/24,Man United,Crystal Palace,0,1,A,Saturday
63,2023/24,Newcastle,Burnley,2,0,H,Saturday
64,2023/24,West Ham,Sheffield United,2,0,H,Saturday
65,2023/24,Wolves,Man City,2,1,H,Saturday
66,2023/24,Tottenham,Liverpool,2,1,H,Saturday
67,2023/24,Nott'm Forest,Brentford,1,1,D,Sunday
68,2023/24,Fulham,Chelsea,0,2,A,Monday
69,2023/24,Luton,Burnley,1,2,A,Tuesday
70,2023/24,Luton,Tottenham,0,1,A,Saturday
71,2023/24,Burnley,Chelsea,1,4,A,Saturday
72,2023/24,Everton,Bournemouth,3,0,H,Saturday
73,2023/24,Fulham,Sheffield United,3,1,H,Saturday
74,2023/24,Man United,Brentford,2,1,H,Saturday
75,2023/24,Crystal Palace,Nott'm Forest,0,0,D,Saturday
76,2023/24,Brighton,Liverpool,2,2,D,Sunday
77,2023/24,West Ham,Newcastle,2,2,D,Sunday
78,2023/24,Wolves,Aston Villa,1,1,D,Sunday
79,2023/24,Arsenal,Man City,1,0,H,Sunday
80,2023/24,Liverpool,Everton,2,0,H,Saturday
81,2023/24,Bournemouth,Wolves,1,2,A,Saturday
82,2023/24,Brentford,Burnley,3,0,H,Saturday
83,2023/24,Man City,Brighton,2,1,H,Saturday
84,2023/24,Newcastle,Crystal Palace,4,0,H,Saturday
85,2023/24,Nott'm Forest,Luton,2,2,D,Saturday
86,2023/24,Chelsea,Arsenal,2,2,D,Saturday
87,2023/24,Sheffield United,Man United,1,2,A,Saturday
88,2023/24,Aston Villa,West Ham,4,1,H,Sunday
89,2023/24,Tottenham,Fulham,2,0,H,Monday
90,2023/24,Crystal Palace,Tottenham,1,2,A,Friday
91,2023/24,Chelsea,Brentford,0,2,A,Saturday
92,2023/24,Arsenal,Sheffield United,5,0,H,Saturday
93,2023/24,Bournemouth,Burnley,2,1,H,Saturday
94,2023/24,Wolves,Newcastle,2,2,D,Saturday
